book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,7,14,Isaiah 7:14,1,διὰ,διά,prep,G1223,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,2,τοῦτο,οὗτος,pron.acc.sg.n,G3778,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,3,δώσει,δίδωμι,verb.fut.act.ind.3sg,G1325,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,4,κύριος,κύριος,noun.nom.sg.m,G2962,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,5,αὐτὸς,αὐτός,pron.nom.sg.m,G846,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,6,ὑμῖν,σύ,pron.dat.pl,G4771,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,7,σημεῖον,σημεῖον,noun.acc.sg.n,G4592,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,8,ἰδοὺ,ἰδού,intj,G2400,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,9,ἡ,ὁ,art.nom.sg.f,G3588,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,10,παρθένος,παρθένος,noun.nom.sg.f,G3933,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,11,ἐν,ἐν,prep,G1722,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,12,γαστρὶ,γαστήρ,noun.dat.sg.f,G1064,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,13,ἕξει,ἔχω,verb.fut.act.ind.3sg,G2192,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,14,καὶ,καί,conj,G2532,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,15,τέξεται,τίκτω,verb.fut.mid.ind.3sg,G5088,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,16,υἱόν,υἱός,noun.acc.sg.m,G5207,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,17,καὶ,καί,conj,G2532,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,18,καλέσεις,καλέω,verb.fut.act.ind.2sg,G2564,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,19,τὸ,ὁ,art.acc.sg.n,G3588,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,20,ὄνομα,ὄνομα,noun.acc.sg.n,G3686,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,21,αὐτοῦ,αὐτός,pron.gen.sg.m,G846,Vaticanus,LXX
23,Isaiah,7,14,Isaiah 7:14,22,Εμμανουηλ,Εμμανουηλ,noun.prop,G1694,Vaticanus,LXX
